Zona	Condominio	Unidad
Region 15	Mistiq Villas	25
Region 15	Mistiq Villas	26
Region 15	Mistiq Villas	20
La Veleta	Magnolias	B2
Centro	Kiimak Tulum	3
Centro	Mayapax	F
La Veleta	DK Tulum	232
Region 15	Mistiq Villas	15 (sin muebles)
Centro	Hotel Kassia	
Aldea Tulum	Aldea Tulum	201
La Veleta	Condos Ocho	B5
La Veleta	Erena	510
La Veleta	Erena	305
Region 15	Chaac	215
Kukulkan	Mistiq Tulum	A204
Region 15	Mistiq Gardens I	124
Aldea Zama	Yakuntik	Copal #101
Aldea Zama	Yakuntik	Ceiba Pentandra #106
Aldea Zama	Yakuntik	Copal #201
Aldea Zama	Yakuntik	Balche #202
Aldea Zama	Yakuntik	Chit #301
Region 15	Zizal	103
Region 15	Zizal	202
Region 15	Zizal	203
Region 15	Zizal	205
Region 15	Zizal	302
Region 15	Zizal	303
Region 15	Zizal	305
Cenote Caracol	Casa Giselle	-
Kukulkan	Adora	204
La Veleta	Palalma Casa	7
La Veleta	Coco Village	C1
Region 15	Mistiq Temple ll	B212
Centro	Tuk Vientos	207
Kukulkan	Mistiq Tulum	B201
Region 15	Mistiq Temple I	A401
Kukulkan	Adora	7
Aldea Tulum	Aldea Tulum	Fer
La Veleta	Luxury Condo	#3
Limas	Limas Tulum	111
Region 15	Xibalba	23
Av coba	Edena by Tao	60 (sin muebles)
Aldea Tulum	Aldea Tulum	
Region 11	Casa Camel	-
Akumal	Siete Gotas	
La Veleta	Cacao 	C104
Villas Tulum	Paraiso Chaak	
Villas Tulum	Tuane	802
La Veleta	Villa El Canto	
La Veleta	Etnica Ku	
Centro	Tuk Vientos	307
Aldea Zama	Calakmul	101
Centro	Maria Tulum	203
Aldea Tulum	Aldea Tulum Plus	T1 3B
Aldea Tulum	Aldea Tulum	P-404
Macario Gomez	Macario Gomez	
Gran Sirenis	G. Sirenis ed. La selva	D302
Av coba	Edena by Tao	46
Bahia Principe	Anah Village	B15
Bahia Principe	Anah Village	B44
Tumben kaa	(Palma Central)	2 unidades
Region 12	Aldea Savia F2	 G64
La Veleta	Condos Che 721	
Aldea Zama	Casa Kuk	-
Limas	Limas Tulum	313
Limas	Limas Tulum	402 (sin muebles)
Limas	Limas Tulum	901 (sin muebles)
La Veleta	Smart Depas	C208 sin muebles
La Veleta	Palalma casa	26
Region 15	Koah 	7
Region 15	Mistiq Gardens I	102
Aldea Tulum	Aldea Tulum	casa Baax al
La Veleta	Asana Leaf 	Casa 1
Kukulkan	Mistiq Tulum	D303
Kukulkan	Mistiq Tulum	G301
Centro	Locales Plaza Hexa	
Aldea Zama	Casa Nirvana	-
Aldea Tulum	Aldea Tulum	(sin muebles)
Aldea Zama	Miraluna	322
Region 15	Mistiq Temple II	B210
Aldea Zama	Omara	210
Tumben kaa	Tulix	12
Selva Norte	Selva Norte	Balche 49
La Veleta	Casa Veleta	-
La Veleta	Acinte	A8
Region 15	Noil Residences	PP8
Tumben kaa	Xunik	 T3 #102
Aldea Zama	Town Center	T6 #101
Kukulkan	Noil Villas	2C (sin muebles)
Centro	Maria Tulum	113
Tumben kaa	Tulix	24
Aldea Zama	Yakuntik	Kerpis #305
Aldea Zama	Yakuntik	Zapote #210
Selva Norte	Copal	301
La Veleta	Erena	512
Aldea Zama	Origen Jungle	2D
Aldea Zama	Origen Jungle	3D
Aldea Zama	Katia Residence	213
Region 15	Xibalba	216
Region 15	Zizal	102 (serv incl)
La Veleta	Cacao 	D202
Villas Tulum	Tuane	302
Villas Tulum	Tuane	401
Kukulkan	Loch Condo	401
Holistika	Ahal 1	102
Centro	Tuk Viento	107
Av coba	Humana	F101
Villas Tulum	Homes	106
Villas Tulum	Homes	205
La Veleta	Xiimbal	212
Kukulkan	Mistiq Tulum	D301
Region 15	Reverence	103
Region 15	Reverence	102
La Veleta	Edificio Baay	
Holistika	Ahal 2	T4 402
Limas	Limas Tulum	302 (sin muebles)
Kukulkan	Mistiq Tulum	D201
Bahia Principe	Anah Village	B41
Centro	Kiimak	4
Akumal	Santamar by tao	A307
Bahia Principe	Anah Suites	C307
Aldea Zama	Naj Tulum	2B
Aldea Zama	Naj Tulum	1B
Aldea Tulum	Aldea Tulum	B2 - 101
Kukulkan	Mistiq Tulum	D302
Kukulkan	Mistiq Tulum	J303
Kukulkan	Mistiq Tulum 	B204
Kukulkan	Mistiq Tulum	F201
Aldea Tulum	Aldea Tulum	Mz 8 Lt1 #50
La Veleta	Asana Leaf 	4
Region 15	Xibalba	111
Aldea Zama	Parque Zama	T4 D202
Tumben kaa	Xunik	T3 #304
La Veleta	Naia Naay	E302
Region 15	Angelique	302
Limas	Limas Tulum	312
Region 15	Angelique	101
Region 15	Jade	30
Aldea Zama	Amelia	107
Aldea Tulum	Aldea Tulum Plus 	T49 4A
Centro	Bakal	413
La Veleta	Casa Chehchen	casa #1
Region 15	Mistiq Gardens I	209
Region 15	Mistiq Gardens I	210
Region 15	Mistiq Gardens I	222
Aldea Zama	Yakuntik	Ceiba insignis #102
La Veleta	Asana 	1
Aldea Zama	Carmela	304
Centro	Maria Tulum	313
Aldea Zama	Miraluna	133
Aldea Zama	Locales parques Zama	T3 #2
Aldea Zama	Locales parques Zama	T3 #4
Aldea Zama	Locales parques Zama	T4 #2
Aldea Zama	Locales parques Zama	T4 #1
Aldea Zama	Locales parques Zama	T3 #1
Aldea Zama	Locales parques Zama	T4 #4
Aldea Zama	Locales parques Zama	T2 #4
La Veleta	Nequén	208
Aldea Zama	Ophelia 	K4
La Veleta	Casa Imox	01B
La Veleta	Casa Imox	202B
Aldea Zama	Azara	202
Aldea Zama	Azara 	301
Aldea Zama	Mareas Condo	3A
La Veleta	Acinte by Endémico	#B1
Av coba	Edena by Tao	10
La Veleta	Boni Gardens	201
Aldea Tulum	Aldea Tulum Plus	T24 3B
Region 8	Recinto	1
La Veleta	Xiimbal	29
Region 15	Mistiq Temple II	#A212
Region 15	Mistiq Temple II	#A205
Region 15	Mistiq Temple II	C402
La Veleta	Nayal	5
Region 15	Jade	6
Aldea Tulum	Aldea Tulum F2 	201
Kukulkan	Naia Tulum	B13
Aldea Zama	Aru Tulum	103
Xuul Ka	Casa Tepy	-
Kukulkan	Mistiq Tulum	H303
La Veleta	Blue Luxury	102E
Aldea Zama	Aru Tulum	308
Kukulkan	Mistiq Tulum	A302
Kukulkan	Mistiq Tulum	B101
Aldea Zama	Azara	203
Zona hotelera 	Amira District	B204
Region 15	Mistiq Temple ll	A301,B203,B207,B208,B211,B301,B302,B304,B305,B403,C201,C202,C203,C207,C208,C209,C301,C302
Kukulkan	Loch Condo	104
Kukulkan	Loch Condo	223
Av coba	Gardens by coba	PH01
Av coba	Gardens by coba	204
Av coba	Gardens by coba	205
Region 15	Jungle paradise	213
Region 8	Canopia	110
Region 15	Siwa	D1-105
Centro	Edificio BAHA	6 depas
Region 15	Satori	301 PH
Aldea Zama	Local Anemona	101
Riviera Tulum	Casa Riviera Tulum (sin muebles)	-
Kukulkan	Adora	206
Aldea Zama	Azara	302
Aldea Zama	Azara	307
Aldea Zama	Coba II	PH22
Xuul ka	Local comercial 	
Aldea Zama	Parque Zama	D301 (sin muebles)
Aldea Zama	Parque Zama	D306 (sin muebles)
Aldea Zama	Paramar Viva	18
Holistika	Casa Noni	-
Centro	Tuk Tulum	Agua 103
La Veleta	Palalma Tierra	34
La Veleta	Naab	B301
Bahia Principe	Anah Suites	A7
Gran Sirenis	Sirenis	103
Kukulkan	Mistiq Tulum	H301
Kukulkan	Mistiq Tulum	G104
La Veleta	Villas Kuxtal	
Aldea Zama	Bonita Love And Explore	2
Aldea Zama	Phimai	8
Riviera Tulum	Casa Fran	-
Riviera Tulum	Casa Flip	-
Bahia Principe	Downtown 	40
La Veleta	Central Park Lagunas	A112
Aldea Zama	Yaxiik	32
Selva Norte	Ceiba 	102
Region 15	Mistiq gardens I	125
Region 15	Mistiq gardens I	119
Aldea Zama	Phimai	7B
Region 15	Mistiq Temple I	A206
Kukulkan	Mistiq Tulum	G202
La Veleta	Green Oasis	-
Aldea Zama	Town Center	T4 #205
Tumben kaa	Tulix	casa #25
Holistika	Amar Tulum	202
Region 15	Casa Arroqueño	-
Aldea Zama	Casa Alia	-
Aldea Zama	Local Anemona	#1
Aldea Zama	Local Anemona	#2
La Veleta	Cacao 	B205
La Veleta	Naia Naay	H205
Region 15	Mistiq Villas	7
Region 15	Mistiq Temple ll	A206
Region 15	Mistiq Gardens I	103
Av coba	Edena by tao	116
Av coba	Edena by tao	58
Centro	Mun Tulum	33
La Veleta	Xiimbal	35 (sin muebles)
Region 8	Botanic	311
Region 12	Aldea Savia F1	R23
Region 12	Nativa Tulum	#2304
Bahia Principe	Anah Suites	A4
Kukulkan	Blue Luxury kukulkan	102 F
Kukulkan	Blue Luxury kukulkan	201 F
Centro	Tuk Tulum	Agua 113
Region 15	Mistiq Gardens ll 	13
Tumben kaa	Xunik	T1 #101(sin muebles)
Tumben kaa	Xunik	T3 #201(sin muebles)
Tumben kaa	Xunik	T3 #305(sin muebles)
Tumben kaa	Xunik	T5 #102(sin muebles)
Tumben kaa	Xunik 	T4 #203(sin muebles)
Tumben kaa	Xunik 	T4 #303(sin muebles)
La Veleta	Sky Tulum	S-003
Aldea Zama	Azara	#306
La Veleta	Casa Santiago	#1 (3 disponibles)
Aldea Zama	Brava Towers 	308
Aldea Zama	Town Center	T1 #104
Kukulkan	Mistiq Tulum 	E102
Kukulkan	Mistiq Tulum	G204
Centro	Nadet	#31
Centro	Nadet	#33
Centro	Nadet	#34
Centro	Nadet	#35
Aldea Zama	Tao	119
Aldea Tulum	Aldea Tulum	10
Kukulkan	Mistiq Tulum	C303
Aldea Zama	Paramar Viva	213
Aldea Zama	Paramar Viva	130
Aldea Zama	Ik Zama	3
Aldea Zama	Ik Zama	7
Mun Tulum	Mun Townhouse	3
Mun Tulum	Mun Townhouse	7
Mun Tulum	Mun Townhouse	17
Mun Tulum	Mun Townhouse	20
Kukulkan	Adora	302
Kukulkan	Adora	H4
Kukulkan	Adora	Villa 2
Villas Tulum	Homes	101
Kukulkan	Adora	301
Mun Tulum	Mun Townhouse	31
Aldea Zama	Paramar Viva	10
Aldea Zama	Paramar Viva	207
La Veleta	Kaatal Oox	7
La Veleta	Zona Nove	4
La Veleta	Zona Nove	3
Riviera Tulum	Casa Lili	-
La Veleta	Seremonia	studio
La Veleta	Palalma Tierra	19
La Veleta	Palalma Tierra	21
La Veleta	Palalma Tierra	26
La Veleta	Asana 	3
Region 12	Aldea Savia	PH 333
Region 15	Mistiq Temple I	C106
Aldea Zama	Quinto Sol	14
Aldea Zama	Quinto Sol	21
Selva Norte	Selva Norte	Nikte 101
La Veleta	Villa Vidrio	-
Riviera Tulum	Casa Marta	-
Yax-Kin	Xun Kari	-
Region 12	Aldea Savia F2	G55
Aldea Tulum	Aldea Tulum	2
Aldea Tulum	Aldea Tulum	3
Aldea Tulum	Aldea Tulum	4
Aldea Tulum	Aldea Tulum	5
Aldea Tulum	Aldea Tulum	6
Aldea Tulum	Aldea Tulum	8
Aldea Tulum	Aldea Tulum	9
Aldea Tulum	Aldea Tulum	11
Aldea Tulum	Aldea Tulum	12
Aldea Tulum	Mza.22 Ed. R1 Dpto 202	7
Aldea Tulum	Mz 65 ed B2 dto 302	
Riviera Tulum	Aldea Ka an	
La Veleta	Xamira Fase 1	8
La Veleta	Selva Tulum	B1
Kukulkan	La coordenada perfecta	4
La Veleta	Condos Ocho	C1
Region 15	Mistiq Temple I	A212
Kukulkan	Naia Tulum 	C15
Tumben kaa	Ka An	
Riviera Tulum	Ware House Black	
Aldea Zama	Eve Residences	
Region 15	Mistiq Temple I	A306
Riviera Tulum	Casa Melodia	-
La Veleta	Cuatro Cielos Tulum	Villa Marina
La Veleta	Rama	301
Aldea Zama	Ophelia	302
Aldea Zama	Ophelia	
Region 15	Areia 	F2 18
Kukulkan	Adora	411
Kukulkan	Adora	H1
Kukulkan	Adora	H2
Kukulkan	Adora	H16
Kukulkan	Adora	H17
Kukulkan	Adora	H19
Tumben kaa	Ka An Tulum	
La Veleta	Condos Ocho	D2
Aldea Zama	Quinto Sol	20
La Veleta	Heavens Lagoon	7
La Veleta	Cacao	B201
La Veleta	Cacao	C103
La Veleta	Cacao	C301
La Veleta	Cacao	E102
Bahia Principe	Tao TSE	m2
Selva Norte	Kayum 	104
Aldea Zama	Zama 120	3
Region 12	Aldea Savia	511
Aldea Zama	Tao 	304
La Veleta	Rama	110
Aldea Zama	Paramar Viva	203
Region 8	Recinto	B8
La Veleta	El Nido	104
Aldea Zama	Kuukum	104
Aldea Tulum	aldea tulum 	15
Aldea Tulum	Aldea tulum F3	16
Riviera Tulum	Anayansi	3
La Veleta	Xeiba	202
Aldea Zama	Miraluna	111
Aldea Zama	Miraluna	323
Aldea Zama	Miraluna	324
La Veleta	La Veleta Luxury	4
La Veleta	La Veleta Luxury	8
La Veleta	La Veleta Luxury	9
Villas Tulum	Homes	1er nivel
Kukulkan	Chaac	13
Region 15	Casa Pala	-
La Veleta	Via Aqua	102
Tumben kaa	Luz Tulum	302
Riviera Tulum	Riviera	23
Aldea Zama	Alma de Flores	108
Aldea Zama	Alma de Flores	208
Aldea Zama	Alma de Flores	304
Region 12	Aldea Savia F2	R44
Region 12	Aldea Savia F1	G34
Aldea Zama	Querido Tulum	102
Aldea Zama	Carmela 	303
Aldea Zama	Akua Reserve	34
Holistika	Casa Mono 	-
Aldea Zama	Vientos Tulum	2
Holistika	Amar Tulum	Luna 403
Holistika	Amar Tulum	Cielo 303
La Veleta	Rama	202
Region 15	Casa Laguna	308
Region 15	Casa Laguna	206
Region 15	Casa Laguna	204 sin muebles
Region 15	Casa Laguna	101
La Veleta	Erena	106
La Veleta	Erena	203
Aldea Zama	Artia	221
Region 15	Koah	5
Kukulkan	Adora	209
La Veleta	DK Tulum	5
Aldea Zama	Paramar Viva	118
Kukulkan	Naia Tulum	B31
Aldea Zama	Ik Zama	4
Tumben kaa	Miel y almendras	4
La Veleta	DK Tulum	1
La Veleta	Casa Veleta Flores	-
Aldea Zama	Quinto sol	7
Aldea Zama	Quinto sol	23
La Veleta	Central Park Lagunas 	E303
La Veleta	Kantuun	T2 B3
La Veleta	Casa Veleta 6BR	-
La Veleta	Naab	A201
La Veleta	Erena	309
La Veleta	Villa sam	
La Veleta	Cacao	203A
La Veleta	Cacao	204B
Centro	Mama Blue	Gypsea Loft
Centro	Mama Blue	boho
La Veleta	Terra Ego	301
Riviera Tulum	Casa Nance	-
Tumben kaa	Edificio Jabali	21
Tumben kaa	Edificio Jabali	26
Kukulkan	Adora	402
Centro	Tuk Tulum	Agua 112
Tumben kaa	Casa Venado	-
Aldea Zama	Tao 	204
Kukulkan	Adora	103
Holistika	Casa Risueña 	-
Centro	Mama Blue	Dharma
Centro	Casa Boho 	-
Kukulkan	Chaac	14
Holistika	Casa Risueña PB	-
Holistika	Casa Risueña PA	-
Aldea Zama	Aflora	309
La Veleta	Condo Los amigos 3	-
La Veleta	Panoramic	PH6C
La Veleta	Smart Depas 	C310
Aldea Tulum	Aldea tulum 	201
Kukulkan	Adora	409
Region 15	Mistiq Temple I	B202
Kukulkan	Naia Tulum	C34
Kukulkan	Naia Tulum 	A13
La Veleta	Rama 	111
La Veleta	Zen	3
La Veleta	Central Park Lagunas 	B115
La Veleta	Halaken	PB4
La Veleta	Zen 	S10
Aldea Zama	Paramar Viva	108
La Veleta	Rosa de Plata	306
Region 15	Muuk	310
Tumben kaa	Edificio Jabali	12
Tumben kaa	Edifcio Jabali 	14
Aldea Zama	Paramar Ve	101
La Veleta	Kasa Mate	
La Veleta	Siddartha 	106
La Veleta	Surya	A2 
La Veleta	Surya 	PH3
La Veleta	Heaven	C
La Veleta	Heaven	E
La Veleta	Xintok	1002
Aldea Zama	Kuukum 	105
Region 12	Aldea Savia F1	121
Aldea Zama	Miraluna	224
Aldea Zama	Zama Tower	302
La Veleta	Palalma Tierra	4
La Veleta	Tzunum 	2
La Veleta	Xiimbal 	7
La Veleta	Xamira Fase 1	25
Aldea Zama	Quinto Sol	16
Aldea Zama	Brava Towers 	303
La Veleta	Smart Depas 	B307
Aldea Zama	Chen	302
Aldea Zama	Chen	203
Av coba	Edena by TAO	47
La Veleta	Elementus 	d1
Aldea Zama	Luxury Apartment 	Crypto
Av coba	Edena by TAO	54
La Veleta	Elementus 	b3
La Veleta	Elementus 	j3
Zona hotelera 	Habitaciones	-
Zona hotelera 	Restaurant 	-
Zona hotelera 	Local comercial 	-
Selva Norte	Hibisco 	204
Av coba	Edena by Tao	51
Aldea Zama	Miraluna	241
Tumben kaa	Casa Malix	-
Zona hotelera 	Local comercial 	
Aldea Zama	Loft Andador Kaan	2
Aldea Zama	Loft Andador Kaan	1
Aldea Zama	Zama Tower	207
Aldea Zama	Chen	101
Aldea Zama	Chen	301
Akumal	Piedra de mar	4
Centro	Hostal Tzunum	
La Veleta	Oasis Yaaxlum	401
Kukulkan	Adora	107
Kukulkan	Waves	C313
Region 12	Aldea Savia	211
Av coba	Edena by Tao	57
Aldea Zama	Town Center	103
Playa Del Carmen	Allegranza	67
Region 12	Aldea Savia	C23
Bahia Principe	Anah Village	B2
Muyil	Casa Ana	-
Aldea Zama	Artia	103
Centro	Tuk Tulum	Fuego 203
Aldea Zama	Quinto Sol	17
Aldea Zama	Paramar VE	102
La Veleta	DK Tulum	124
La Veleta	Palalma Tierra	11
La Veleta	Xamira Fase 1	14
Region 15	AAK	D3
La Veleta	Lool Village	
Av coba	Edena by Tao	48
La Veleta	Cacao	A302
La Veleta	Casa en La Veleta	-
Tumben kaa	Luz Tulum	F101
La Veleta	Coco Village	B1
Region 15	Mistiq Gardens I	23
Region 15	Mistiq Gardens I	24
La Veleta	Coco Village	C3
La Veleta	Cacao 	C202
La Veleta	Rio de Plata	Casa 1
Aldea Zama	Macondo	101 serv incl
La Veleta	Xperience Residences	5
Region 12	Aldea Savia	206
Region 12	Aldea Savia F2	G56
Aldea Zama	Aflora	211
Region 12	Aldea Savia F1	DR14
La Veleta	Sands Tulum	6
La Veleta	Sands Tulum	1
La Veleta	Sands Tulum	3
La Veleta	Sands Tulum	4
La Veleta	Sands Tulum	5
